Time [us],MIDI IN 2-Piano,MIDI IN 3-PC
0,1,1
2297011,0,1
2297172,1,1
2297235,0,1
2297268,1,1
2297330,0,1
2297620,1,1
2297650,0,1
2297684,1,1
2297714,0,1
2297780,1,1
2297906,0,1
2297940,1,1
2297970,0,1
2297998,0,1
2298132,1,1
2298161,1,1
2298194,0,1
2298223,0,1
2298228,1,1
2298254,1,1
2298290,0,1
2298320,0,1
2298484,1,1
2298514,0,1
2298580,1,1
2298606,1,1
2298610,0,1
2298637,0,1
2298672,0,1
2298703,0,1
2298769,0,1
2298897,0,1
2298900,1,1
2298928,1,1
2298930,0,1
2298959,0,1
2299118,0,1
2299156,1,1
2299184,1,1
2299215,1,1
2299250,0,1
2299280,0,1
2299470,0,1
2299501,0,1
2299539,1,1
2299567,1,1
2299570,0,1
2299598,0,1
2299731,1,1
2299793,0,1
2299827,1,1
2299889,0,1
2299920,0,1
2299923,1,1
2300017,0,1
2300144,0,1
2300179,1,1
2300209,0,1
2300237,0,1
2300243,1,1
2300465,0,1
2300499,1,1
2300528,1,1
2300529,0,1
2300559,0,1
2300691,1,1
2300717,1,1
2300753,0,1
2300783,0,1
2300787,1,1
2300814,1,1
2300849,0,1
2300880,0,1
2300883,1,1
2300911,1,1
2300945,0,1
2300979,1,1
2301008,1,1
2301105,0,1
2301138,1,1
2301167,1,1
2301169,0,1
2301198,0,1
2301229,0,1
2301453,0,1
2301458,1,1
2301484,1,1
2301489,0,1
2301519,0,1
2301522,1,1
2301552,0,1
2301650,1,1
2301678,1,1
2301713,0,1
2301744,0,1
2301746,1,1
2301775,1,1
2301808,0,1
2301837,0,1
2301842,1,1
2301872,1,1
2301904,0,1
2301934,0,1
2301938,1,1
2301965,1,1
2302064,0,1
2302093,0,1
2302098,1,1
2302127,1,1
2302128,0,1
2302158,0,1
2302418,1,1
2302445,1,1
2302448,0,1
2302480,0,1
2302482,1,1
2302511,1,1
2302512,0,1
2302542,0,1
2302610,1,1
2302639,1,1
2302672,0,1
2302701,0,1
2302706,1,1
2302736,1,1
2302768,0,1
2302798,0,1
2302829,0,1
2302894,0,1
2302925,0,1
2302994,1,1
2303024,0,1
2303053,0,1
2303057,1,1
2303084,1,1
2303088,0,1
2303119,0,1
2303377,1,1
2303406,1,1
2303408,0,1
2303437,0,1
2303472,0,1
2303503,0,1
2303569,1,1
2303599,1,1
2303632,0,1
2303661,0,1
2303665,1,1
2303692,1,1
2303727,0,1
2303758,0,1
2303983,0,1
2304014,0,1
2304017,1,1
2304045,1,1
2304047,0,1
2304076,0,1
2304081,1,1
2304111,0,1
2304177,1,1
2304303,0,1
2304337,1,1
2304366,1,1
2304367,0,1
2304397,0,1
2304529,1,1
2304556,1,1
2304591,0,1
2304622,0,1
2304625,1,1
2304653,1,1
2304687,0,1
2304719,0,1
2304880,1,1
2304911,0,1
2304976,1,1
2305005,1,1
2305007,0,1
2305036,0,1
2305067,0,1
2305102,0,1
2305164,0,1
2305292,0,1
2305296,1,1
2305327,0,1
2305358,0,1
2305517,0,1
2305552,1,1
2305583,1,1
2305614,1,1
2305646,0,1
2305676,0,1
2305869,0,1
2305900,0,1
2305936,1,1
2305966,0,1
2305997,0,1
2306128,1,1
2306190,0,1
2306224,1,1
2306284,1,1
2306286,0,1
2306319,0,1
2306320,1,1
2306414,0,1
2306539,0,1
2306576,1,1
2306606,0,1
2306636,0,1
2306640,1,1
2306862,0,1
2306895,1,1
2306926,0,1
2306927,0,1
2306958,0,1
2307088,1,1
2307117,1,1
2307150,0,1
2307182,0,1
2307183,1,1
2307213,1,1
2307246,0,1
2307279,0,1
2307310,0,1
2307407,0,1
2307535,1,1
2307565,0,1
2307566,0,1
2307597,0,1
2307599,1,1
2307628,1,1
2307629,0,1
2307695,1,1
2307821,0,1
2307853,0,1
2307855,1,1
2307885,0,1
2307887,0,1
2307918,0,1
2308047,1,1
2308077,1,1
2308109,0,1
2308143,1,1
2308174,1,1
2308205,0,1
2308236,0,1
2308399,1,1
2308429,0,1
2308495,1,1
2308525,0,1
2308527,0,1
2308558,0,1
2308589,0,1
2308619,0,1
2308685,0,1
2308813,0,1
2308815,1,1
2308844,1,1
2308845,0,1
2308879,0,1
2309038,0,1
2309070,1,1
2309100,1,1
2309135,1,1
2309165,0,1
2309197,0,1
2309390,0,1
2309421,0,1
2309454,1,1
2309483,1,1
2309484,0,1
2309518,0,1
2309646,1,1
2309708,0,1
2309742,1,1
2309804,0,1
2309805,0,1
2309836,0,1
2309838,1,1
2309932,0,1
2310060,0,1
2310094,1,1
2310124,0,1
2310157,0,1
2310158,1,1
2310380,0,1
2310414,1,1
2310444,1,1
2310475,1,1
2310638,1,1
2310700,1,1
2310734,1,1
2310796,1,1
2310827,1,1
2310924,1,1
2311083,1,1
2311118,1,1
2311149,1,1
2311374,1,1
2311405,1,1
2579037,0,1
2579103,1,1
2579365,1,1
2579431,1,1
2849060,0,1
2849125,1,1
2849387,1,1
2849453,1,1
3119068,0,1
3119134,1,1
3119400,1,1
3119462,1,1
3389095,0,1
3389161,1,1
3389424,1,1
3389490,1,1
3659130,0,1
3659195,1,1
3659458,1,1
3659524,1,1
3929116,0,1
3929182,1,1
3929443,1,1
3929509,1,1
4199148,0,1
4199214,1,1
4199478,1,1
4199540,1,1
4469159,0,1
4469225,1,1
4469487,1,1
4469553,1,1
4739184,0,1
4739249,1,1
4739510,1,1
4739576,1,1
5009198,0,1
5009264,1,1
5009531,1,1
5009593,1,1
5279211,0,1
5279276,1,1
5279536,1,1
5279602,1,1
5549225,0,1
5549291,1,1
5549553,1,1
5549619,1,1
5819262,0,1
5819327,1,1
5819588,1,1
5819654,1,1
6089256,0,1
6089322,1,1
6089589,1,1
6089651,1,1
6359271,0,1
6359336,1,1
6359598,1,1
6359664,1,1
6629293,0,1
6629359,1,1
6629623,1,1
6629685,1,1
6899298,0,1
6899363,1,1
6899629,1,1
6899691,1,1
7169314,0,1
7169380,1,1
7169643,1,1
7169709,1,1
7439347,0,1
7439413,1,1
7439680,1,1
7439745,1,1
7709359,0,1
7709425,1,1
7709692,1,1
7709754,1,1
7979364,0,1
7979430,1,1
7979693,1,1
7979759,1,1
8249395,0,1
8249460,1,1
8249724,1,1
8249786,1,1
8519409,0,1
8519475,1,1
8519737,1,1
8519803,1,1
8789424,0,1
8789489,1,1
8789751,1,1
8789817,1,1
9059444,0,1
9059510,1,1
9059772,1,1
9059837,1,1
9329457,0,1
9329522,1,1
9329783,1,1
9329849,1,1
9439021,0,1
9439182,1,1
9439213,0,1
9439278,1,1
9439341,0,1
9439438,1,1
9439564,0,1
9439630,1,1
9439660,0,1
9439758,1,1
9439788,0,1
9439822,1,1
9439884,0,1
9439950,1,1
9440012,1,1
9440171,1,1
9440202,1,1
9440268,1,1
9440330,1,1
9440427,1,1
9440555,1,1
9440617,1,1
9440652,1,1
9440744,1,1
9440779,1,1
9440810,1,1
9440876,1,1
9440938,1,1
9707478,0,1
9707544,1,1
9707805,1,1
9707871,1,1
9796359,0,1
9796520,1,1
9796551,0,1
9796617,1,1
9796679,0,1
9796744,1,1
9796903,0,1
9796968,1,1
9796999,0,1
9797032,1,1
9797063,0,1
9797096,1,1
9797223,0,1
9797288,1,1
9797351,1,1
9797510,1,1
9797545,1,1
9797607,1,1
9797673,1,1
9797735,1,1
9797893,1,1
9797959,1,1
9797990,1,1
9798021,1,1
9798056,1,1
9798087,1,1
9798215,1,1
9798277,1,1
9802988,0,1
9803245,1,1
9803307,0,1
9803405,1,1
9803531,0,1
9803597,1,1
9803627,0,1
9803853,1,1
9803883,0,1
9803917,1,1
9803975,1,1
