Time [s],MIDI IN 2-Piano,MIDI IN 3-PC,MIDI OUT 2-Synth,MIDI OUT 3-No Load,Channel 4,Channel 5,Channel 6,Channel 7
-2.297011000,1,1,1,1,1,1,1,1
-0.000000000,0,1,1,1,1,1,1,1
0.000161000,1,1,1,1,1,1,1,1
0.000224000,0,1,1,1,1,1,1,1
0.000257000,1,1,1,1,1,1,1,1
0.000319000,0,1,1,1,1,1,1,1
0.000609000,1,1,1,1,1,1,1,1
0.000639000,0,1,1,1,1,1,1,1
0.000673000,1,1,1,1,1,1,1,1
0.000703000,0,1,1,1,1,1,1,1
0.000769000,1,1,1,1,1,1,1,1
0.000895000,0,1,1,1,1,1,1,1
0.000929000,1,1,1,1,1,1,1,1
0.000959000,0,1,1,1,1,1,1,1
0.000987000,0,1,0,1,1,1,1,1
0.001121000,1,1,0,1,1,1,1,1
0.001150000,1,1,1,1,1,1,1,1
0.001183000,0,1,1,1,1,1,1,1
0.001212000,0,1,0,1,1,1,1,1
0.001217000,1,1,0,1,1,1,1,1
0.001243000,1,1,1,1,1,1,1,1
0.001279000,0,1,1,1,1,1,1,1
0.001309000,0,1,0,1,1,1,1,1
0.001473000,1,1,0,1,1,1,1,1
0.001503000,0,1,0,1,1,1,1,1
0.001569000,1,1,0,1,1,1,1,1
0.001595000,1,1,1,1,1,1,1,1
0.001599000,0,1,1,1,1,1,1,1
0.001626000,0,1,0,1,1,1,1,1
0.001661000,0,1,1,1,1,1,1,1
0.001692000,0,1,0,1,1,1,1,1
0.001758000,0,1,1,1,1,1,1,1
0.001886000,0,1,0,1,1,1,1,1
0.001889000,1,1,0,1,1,1,1,1
0.001917000,1,1,1,1,1,1,1,1
0.001919000,0,1,1,1,1,1,1,1
0.001948000,0,1,0,1,1,1,1,1
0.002107000,0,1,1,1,1,1,1,1
0.002145000,1,1,1,1,1,1,1,1
0.002173000,1,1,0,1,1,1,1,1
0.002204000,1,1,1,1,1,1,1,1
0.002239000,0,1,1,1,1,1,1,1
0.002269000,0,1,0,1,1,1,1,1
0.002459000,0,1,1,1,1,1,1,1
0.002490000,0,1,0,1,1,1,1,1
